Emotion,Telugu_Word,Template 1,Template 2,Template 3,Template 4,Template 5,Template 6,Template 7
Happiness,ఆనందం,ఆనందకరమైన ,ఆనందభరితమైన,ఆనందంగా,ఆనందం,ఆనందంగా,ఆనందం,ఆనందం
Happiness,సంతోషం,సంతోషమైన,సంతోషకరమైన,సంతోషంగా,సంతోషం,సంతోషంగా,సంతోషం,సంతోషం
Happiness,ప్రసన్నత,ప్రసన్నతభరితమైన,ప్రసన్నతతో కూడిన,ప్రసన్నంగా,ప్రసన్నత,ప్రసన్నంగా,ప్రసన్నత,ప్రసన్నత
Happiness,ఉల్లాసం,ఉల్లాసమైన,ఉల్లాసభరితమైన,ఉల్లాసంగా,ఉల్లాసం,ఉల్లాసంగా,ఉల్లాసం,ఉల్లాసం
Happiness,హర్షం,హర్షభరితమైన,హర్షభరితమైన,హర్షంగా,హర్షం,హర్షంగా,హర్షం,హర్షం
Happiness,ఉత్సాహము ,ఉత్సాహభరితమైన,ఉత్సాహపూరితమైన,ఉత్సాహంగా,ఉత్సాహం,ఉత్సాహంగా,ఉత్సాహం,ఉత్సాహం
Happiness,తృప్తి,తృప్తికరమైన,తృప్తికరమైన,తృప్తిగా,తృప్తి,తృప్తిగా,తృప్తి,తృప్తి
Happiness,సంతృప్తి,సంతృప్తికరమైన,సంతృప్తికరమైన,సంతృప్తిగా,సంతృప్తి,సంతృప్తిగా,సంతృప్తి,సంతృప్తి
Happiness,ఆహ్లాదం,ఆహ్లాదకరమైన,ఆహ్లాదకరమైన,ఆహ్లాదంగా,ఆహ్లాదం,ఆహ్లాదంగా,ఆహ్లాదం,ఆహ్లాదం
Happiness,కృతజ్ఞత,కృతజ్ఞత కలిగించే,కృతజ్ఞతాభరిత,కృతజ్ఞత,కృతజ్ఞత,కృతజ్ఞతపూర్ణంగా,కృతజ్ఞత,కృతజ్ఞత
Sadness,విషాదం,విషాదభరితమైన,విషాదభరితమైన,విషాదంగా,విషాదం,విషాదంగా,విషాదం,విషాదం
Sadness,దుఃఖం,దుఃఖభరితమైన,దుఃఖభరితమైన,దుఃఖంగా,దుఃఖం,దుఃఖంగా,దుఃఖం,దుఃఖం
